,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,Date,Hour,WeekDay,Month,Total_Booking
2780,Spring,0,1, Clear + Few clouds,26.24,31.06,57,15.0013,1332115200000000000,15,Monday,March,286
2781,Spring,0,1, Clear + Few clouds,9.02,12.88,44,6.0032,1294272000000000000,11,Thursday,January,59
2782,Summer,0,1, Clear + Few clouds,25.42,31.06,35,0.0,1307059200000000000,22,Friday,June,171
2783,Summer,0,1, Clear + Few clouds,28.7,33.335,84,16.9979,1306886400000000000,1,Wednesday,June,17
2784,Fall,0,1, Clear + Few clouds,28.7,32.575,58,7.0015,1341187200000000000,6,Monday,July,136
2785,Spring,0,1, Clear + Few clouds,11.48,12.88,61,26.0027,1331078400000000000,6,Wednesday,March,108
2786,Summer,0,1, Mist + Cloudy ,22.14,25.76,77,12.998,1305158400000000000,23,Thursday,May,103
2787,Fall,0,1, Clear + Few clouds,28.7,32.575,65,8.9981,1341273600000000000,3,Tuesday,July,2
2788,Spring,0,1, Clear + Few clouds,21.32,25.0,55,11.0014,1330560000000000000,10,Thursday,March,133
2789,Winter,0,1, Mist + Cloudy ,21.32,25.0,77,12.998,1318982400000000000,2,Wednesday,October,7
2790,Spring,0,1, Mist + Cloudy ,22.96,26.515,35,19.9995,1297900800000000000,16,Thursday,February,146
2791,Winter,1,0, Mist + Cloudy ,28.7,31.82,45,6.0032,1318204800000000000,16,Monday,October,402
2792,Summer,0,1, Clear + Few clouds,25.42,31.06,41,6.0032,1338940800000000000,13,Wednesday,June,303
2793,Fall,0,1, Clear + Few clouds,29.52,33.335,51,12.998,1347580800000000000,17,Friday,September,894
2794,Summer,0,1, Mist + Cloudy ,24.6,31.06,56,16.9979,1336953600000000000,0,Monday,May,35
2795,Winter,0,1, Clear + Few clouds,9.84,14.395,75,0.0,1323648000000000000,23,Monday,December,45
2796,Summer,0,1," Light Snow, Light Rain",13.12,15.15,93,16.9979,1302220800000000000,18,Friday,April,62
2797,Winter,0,1, Clear + Few clouds,17.22,21.21,77,0.0,1323043200000000000,17,Monday,December,446
2798,Fall,0,1, Mist + Cloudy ,22.14,25.76,42,0.0,1316131200000000000,13,Friday,September,223
2799,Summer,0,1, Clear + Few clouds,20.5,24.24,59,16.9979,1303084800000000000,23,Monday,April,46
2800,Winter,0,1," Light Snow, Light Rain",18.04,21.97,88,43.0006,1352764800000000000,1,Tuesday,November,5
2801,Winter,0,1, Clear + Few clouds,12.3,14.395,52,19.0012,1352073600000000000,21,Monday,November,152
2802,Fall,0,1, Clear + Few clouds,30.34,33.335,48,8.9981,1342137600000000000,20,Friday,July,389
2803,Winter,0,1, Mist + Cloudy ,15.58,19.695,54,6.0032,1323820800000000000,14,Wednesday,December,151
2804,Winter,0,0, Clear + Few clouds,6.56,7.575,59,15.0013,1323561600000000000,1,Sunday,December,62
2805,Winter,0,1, Mist + Cloudy ,15.58,19.695,94,11.0014,1355097600000000000,6,Monday,December,123
2806,Fall,0,1, Clear + Few clouds,26.24,31.06,33,6.0032,1347321600000000000,11,Tuesday,September,247
2807,Summer,0,1," Light Snow, Light Rain",23.78,27.275,73,11.0014,1308182400000000000,6,Thursday,June,112
2808,Winter,0,0, Clear + Few clouds,16.4,20.455,76,6.0032,1350172800000000000,2,Sunday,October,66
2809,Fall,0,1, Clear + Few clouds,31.16,12.12,52,19.0012,1345161600000000000,11,Friday,August,303
2810,Summer,0,1, Mist + Cloudy ,25.42,31.06,59,19.9995,1336521600000000000,11,Wednesday,May,201
2811,Summer,0,1, Clear + Few clouds,27.06,31.06,41,19.9995,1333497600000000000,17,Wednesday,April,744
2812,Spring,0,0, Clear + Few clouds,8.2,8.335,34,30.0026,1294531200000000000,13,Sunday,January,75
2813,Summer,0,1, Mist + Cloudy ,25.42,31.06,50,23.9994,1336348800000000000,14,Monday,May,239
2814,Spring,0,0, Clear + Few clouds,13.12,14.395,42,30.0026,1293926400000000000,19,Sunday,January,30
2815,Fall,0,1, Mist + Cloudy ,20.5,24.24,77,12.998,1316390400000000000,5,Monday,September,28
2816,Spring,0,1, Mist + Cloudy ,15.58,19.695,20,0.0,1299542400000000000,14,Tuesday,March,72
2817,Spring,0,1, Clear + Few clouds,22.14,25.76,68,19.0012,1331769600000000000,21,Thursday,March,243
2818,Spring,0,0, Clear + Few clouds,20.5,24.24,31,26.0027,1300492800000000000,16,Saturday,March,304
2819,Summer,0,0, Clear + Few clouds,16.4,20.455,58,8.9981,1334361600000000000,0,Saturday,April,96
2820,Summer,0,1, Clear + Few clouds,12.3,14.395,49,15.0013,1334102400000000000,3,Wednesday,April,2
2821,Summer,0,0, Clear + Few clouds,27.06,30.305,78,15.0013,1308441600000000000,22,Sunday,June,152
2822,Spring,0,1, Clear + Few clouds,8.2,8.335,27,31.0009,1299110400000000000,3,Thursday,March,1
2823,Winter,0,1, Clear + Few clouds,9.02,11.365,69,8.9981,1352160000000000000,6,Tuesday,November,149
2824,Fall,0,0, Clear + Few clouds,20.5,24.24,72,0.0,1347753600000000000,6,Sunday,September,35
2825,Spring,0,1, Clear + Few clouds,8.2,7.575,47,39.0007,1294790400000000000,12,Wednesday,January,55
2826,Spring,0,1, Clear + Few clouds,13.94,17.425,31,7.0015,1299542400000000000,19,Tuesday,March,150
2827,Winter,0,1," Light Snow, Light Rain",18.86,22.725,94,8.9981,1321401600000000000,13,Wednesday,November,58
2828,Summer,0,1, Mist + Cloudy ,25.42,31.06,50,7.0015,1302566400000000000,0,Tuesday,April,24
2829,Fall,0,0, Clear + Few clouds,27.06,31.06,36,16.9979,1347148800000000000,18,Sunday,September,560
2830,Fall,0,1, Clear + Few clouds,30.34,34.09,55,11.0014,1341792000000000000,19,Monday,July,631
2831,Winter,0,0, Clear + Few clouds,20.5,24.24,45,12.998,1352505600000000000,17,Saturday,November,501
2832,Spring,0,1, Clear + Few clouds,8.2,12.88,61,0.0,1325721600000000000,3,Thursday,January,4
2833,Winter,0,1," Light Snow, Light Rain",21.32,25.0,94,16.9979,1318982400000000000,11,Wednesday,October,149
2834,Fall,0,1, Clear + Few clouds,24.6,29.545,69,8.9981,1347494400000000000,22,Thursday,September,251
2835,Summer,0,0, Clear + Few clouds,24.6,28.79,78,16.9979,1336176000000000000,20,Saturday,May,309
2836,Winter,0,1, Clear + Few clouds,7.38,10.605,74,7.0015,1324252800000000000,7,Monday,December,191
2837,Winter,0,1, Clear + Few clouds,29.52,32.575,39,16.9979,1349395200000000000,15,Friday,October,470
2838,Spring,0,1, Mist + Cloudy ,22.96,26.515,49,15.0013,1331510400000000000,19,Monday,March,446
2839,Winter,0,1, Clear + Few clouds,15.58,19.695,46,22.0028,1355788800000000000,18,Tuesday,December,525
2840,Winter,0,1, Mist + Cloudy ,13.94,16.665,61,8.9981,1352937600000000000,19,Thursday,November,386
2841,Winter,0,0, Clear + Few clouds,20.5,24.24,42,15.0013,1318636800000000000,21,Saturday,October,168
2842,Fall,0,1," Light Snow, Light Rain",22.14,25.76,83,26.0027,1315267200000000000,11,Tuesday,September,89
2843,Summer,0,1, Clear + Few clouds,18.04,21.97,41,12.998,1333584000000000000,20,Thursday,April,312
2844,Fall,0,1, Mist + Cloudy ,27.06,30.305,78,12.998,1310083200000000000,22,Friday,July,169
2845,Summer,0,1," Light Snow, Light Rain",18.04,21.97,94,7.0015,1336003200000000000,7,Thursday,May,384
2846,Spring,0,1, Clear + Few clouds,13.94,17.425,49,7.0015,1328227200000000000,21,Friday,February,134
2847,Summer,0,1, Clear + Few clouds,17.22,21.21,58,11.0014,1302739200000000000,8,Thursday,April,337
2848,Summer,0,0, Mist + Cloudy ,22.14,25.76,94,8.9981,1305331200000000000,14,Saturday,May,216
2849,Winter,0,1, Mist + Cloudy ,21.32,25.0,88,6.0032,1318291200000000000,7,Tuesday,October,352
2850,Fall,0,1, Clear + Few clouds,27.88,31.82,79,6.0032,1342396800000000000,3,Monday,July,6
2851,Winter,0,0, Clear + Few clouds,26.24,31.06,50,7.0015,1318118400000000000,18,Sunday,October,414
2852,Summer,0,1, Clear + Few clouds,28.7,31.82,42,16.9979,1339718400000000000,13,Friday,June,393
2853,Summer,0,1, Clear + Few clouds,19.68,23.485,77,19.9995,1338854400000000000,7,Tuesday,June,569
2854,Spring,0,1," Light Snow, Light Rain",21.32,25.0,72,19.9995,1331596800000000000,3,Tuesday,March,2
2855,Winter,1,0, Mist + Cloudy ,22.14,25.76,77,15.0013,1352678400000000000,23,Monday,November,63
2856,Summer,0,1," Light Snow, Light Rain",27.06,29.545,89,12.998,1339459200000000000,15,Tuesday,June,116
2857,Summer,0,1, Clear + Few clouds,25.42,30.305,65,11.0014,1339718400000000000,9,Friday,June,366
2858,Spring,0,0, Mist + Cloudy ,17.22,21.21,94,7.0015,1331942400000000000,8,Saturday,March,218
2859,Summer,0,1, Clear + Few clouds,26.24,30.305,73,12.998,1337126400000000000,21,Wednesday,May,393
2860,Summer,0,1, Clear + Few clouds,14.76,17.425,76,12.998,1302134400000000000,8,Thursday,April,314
2861,Fall,0,0, Clear + Few clouds,26.24,30.305,69,15.0013,1310860800000000000,2,Sunday,July,94
2862,Summer,0,1, Clear + Few clouds,18.86,22.725,88,7.0015,1339027200000000000,4,Thursday,June,6
2863,Fall,0,0, Mist + Cloudy ,27.88,31.82,34,19.0012,1347667200000000000,15,Saturday,September,654
2864,Summer,0,1, Clear + Few clouds,20.5,24.24,63,15.0013,1305072000000000000,3,Wednesday,May,3
2865,Spring,0,1, Mist + Cloudy ,13.12,17.425,81,0.0,1329350400000000000,22,Thursday,February,111
2866,Spring,0,0, Clear + Few clouds,4.1,3.03,42,31.0009,1294531200000000000,1,Sunday,January,12
2867,Summer,0,1, Clear + Few clouds,15.58,19.695,62,8.9981,1334016000000000000,8,Tuesday,April,692
2868,Summer,0,1, Clear + Few clouds,21.32,25.0,48,23.9994,1307059200000000000,5,Friday,June,28
2869,Winter,0,1, Mist + Cloudy ,14.76,18.18,76,7.0015,1317600000000000000,5,Monday,October,21
2870,Winter,0,1, Mist + Cloudy ,16.4,20.455,62,27.9993,1323907200000000000,11,Thursday,December,135
2871,Summer,0,1, Mist + Cloudy ,22.14,25.76,45,23.9994,1301875200000000000,10,Monday,April,90
2872,Spring,0,0, Clear + Few clouds,16.4,20.455,37,22.0028,1300492800000000000,22,Saturday,March,72
2873,Summer,0,1, Mist + Cloudy ,23.78,27.275,68,22.0028,1336953600000000000,3,Monday,May,2
2874,Winter,0,1, Clear + Few clouds,15.58,19.695,50,12.998,1323388800000000000,13,Friday,December,168
2875,Winter,0,1, Clear + Few clouds,13.94,15.91,61,15.0013,1355875200000000000,21,Wednesday,December,168
2876,Winter,0,1, Clear + Few clouds,18.04,21.97,67,15.0013,1317859200000000000,3,Thursday,October,5
2877,Summer,0,1, Clear + Few clouds,31.98,34.85,46,19.0012,1307404800000000000,18,Tuesday,June,551
2878,Summer,0,1, Clear + Few clouds,24.6,31.06,43,6.0032,1334793600000000000,17,Thursday,April,748
2879,Summer,0,1, Clear + Few clouds,13.12,14.395,61,23.9994,1301616000000000000,11,Friday,April,89
2880,Winter,0,1, Mist + Cloudy ,17.22,21.21,77,0.0,1350432000000000000,9,Wednesday,October,382
2881,Summer,0,1, Clear + Few clouds,24.6,31.06,33,27.9993,1334620800000000000,11,Tuesday,April,239
2882,Winter,0,0, Clear + Few clouds,20.5,24.24,48,6.0032,1352592000000000000,12,Sunday,November,585
2883,Fall,0,1, Clear + Few clouds,29.52,34.85,74,7.0015,1343865600000000000,8,Thursday,August,739
2884,Winter,0,1," Light Snow, Light Rain",21.32,25.0,83,6.0032,1350259200000000000,19,Monday,October,239
2885,Spring,0,0, Mist + Cloudy ,18.04,21.97,77,19.9995,1293840000000000000,15,Saturday,January,110
2886,Winter,0,1, Clear + Few clouds,14.76,18.18,43,7.0015,1322697600000000000,18,Thursday,December,405
2887,Spring,0,1, Mist + Cloudy ,10.66,11.365,70,22.0028,1326758400000000000,0,Tuesday,January,12
2888,Spring,0,1, Mist + Cloudy ,10.66,13.635,56,8.9981,1296777600000000000,17,Friday,February,205
2889,Spring,0,0, Clear + Few clouds,14.76,17.425,62,12.998,1299974400000000000,7,Sunday,March,10
2890,Fall,1,0, Clear + Few clouds,36.9,42.425,42,12.998,1341360000000000000,18,Wednesday,July,430
2891,Fall,0,1, Clear + Few clouds,32.8,38.635,59,31.0009,1346716800000000000,15,Tuesday,September,292
2892,Winter,0,1, Clear + Few clouds,18.04,21.97,77,0.0,1320796800000000000,20,Wednesday,November,219
2893,Winter,0,1, Clear + Few clouds,16.4,20.455,76,8.9981,1320278400000000000,21,Thursday,November,144
2894,Fall,0,1, Clear + Few clouds,31.98,34.85,46,16.9979,1312848000000000000,21,Tuesday,August,230
2895,Spring,0,1, Clear + Few clouds,4.1,5.305,54,16.9979,1294617600000000000,5,Monday,January,3
2896,Winter,0,0, Mist + Cloudy ,9.84,12.12,87,8.9981,1354320000000000000,8,Saturday,December,144
2897,Fall,0,0, Mist + Cloudy ,25.42,28.03,88,0.0,1315612800000000000,23,Saturday,September,139
2898,Summer,0,1, Clear + Few clouds,27.88,31.06,22,23.9994,1334620800000000000,16,Tuesday,April,370
2899,Summer,0,1, Clear + Few clouds,31.16,35.605,58,11.0014,1307491200000000000,8,Wednesday,June,481
2900,Spring,0,1, Clear + Few clouds,13.94,16.665,61,12.998,1331510400000000000,5,Monday,March,16
2901,Fall,0,1, Mist + Cloudy ,31.16,35.605,58,19.0012,1342656000000000000,9,Thursday,July,318
2902,Fall,1,0, Mist + Cloudy ,27.88,31.82,79,7.0015,1315180800000000000,1,Monday,September,54
2903,Summer,0,0, Mist + Cloudy ,24.6,30.305,64,6.0032,1336262400000000000,12,Sunday,May,558
2904,Fall,0,1, Clear + Few clouds,31.98,35.605,52,0.0,1310428800000000000,23,Tuesday,July,79
2905,Winter,1,0, Clear + Few clouds,15.58,19.695,37,36.9974,1320969600000000000,13,Friday,November,236
2906,Winter,1,0, Mist + Cloudy ,17.22,21.21,58,7.0015,1349654400000000000,14,Monday,October,420
2907,Winter,0,0, Clear + Few clouds,21.32,25.0,39,0.0,1352505600000000000,13,Saturday,November,651
2908,Winter,0,1, Clear + Few clouds,10.66,12.88,60,11.0014,1323734400000000000,9,Tuesday,December,233
2909,Fall,0,1," Light Snow, Light Rain",24.6,25.76,94,12.998,1347926400000000000,1,Tuesday,September,5
2910,Winter,0,1, Mist + Cloudy ,18.86,22.725,88,19.9995,1323129600000000000,1,Tuesday,December,16
2911,Winter,0,1, Clear + Few clouds,18.04,21.97,77,7.0015,1349049600000000000,6,Monday,October,155
2912,Fall,0,1, Mist + Cloudy ,28.7,32.575,65,7.0015,1341792000000000000,23,Monday,July,131
2913,Summer,0,1, Mist + Cloudy ,12.3,13.635,93,19.9995,1302220800000000000,22,Friday,April,51
2914,Fall,0,1, Mist + Cloudy ,32.8,35.605,38,8.9981,1342137600000000000,13,Friday,July,374
2915,Fall,0,1, Clear + Few clouds,35.26,39.395,44,19.0012,1312848000000000000,14,Tuesday,August,148
2916,Fall,0,1, Clear + Few clouds,36.08,40.91,44,12.998,1311033600000000000,15,Tuesday,July,158
2917,Fall,0,1, Clear + Few clouds,31.98,37.12,62,0.0,1309996800000000000,10,Thursday,July,101
2918,Spring,0,1, Clear + Few clouds,12.3,12.88,26,36.9974,1299024000000000000,22,Wednesday,March,48
2919,Spring,0,1, Clear + Few clouds,18.04,21.97,72,19.0012,1331164800000000000,4,Thursday,March,2
2920,Summer,0,1, Clear + Few clouds,17.22,21.21,30,19.0012,1333670400000000000,23,Friday,April,113
2921,Winter,0,1, Clear + Few clouds,21.32,25.0,68,15.0013,1317686400000000000,20,Tuesday,October,261
2922,Spring,0,0, Clear + Few clouds,13.94,15.15,49,22.0028,1299888000000000000,11,Saturday,March,119
2923,Fall,0,1, Mist + Cloudy ,22.14,25.76,64,22.0028,1348012800000000000,2,Wednesday,September,3
2924,Spring,0,0, Clear + Few clouds,12.3,16.665,70,0.0,1328313600000000000,11,Saturday,February,270
2925,Fall,0,0, Clear + Few clouds,37.72,41.665,33,16.9979,1341100800000000000,13,Sunday,July,420
2926,Winter,1,0, Clear + Few clouds,17.22,21.21,71,7.0015,1352678400000000000,0,Monday,November,49
2927,Spring,0,1, Clear + Few clouds,17.22,21.21,35,27.9993,1329436800000000000,15,Friday,February,221
2928,Summer,0,0," Light Snow, Light Rain",21.32,25.0,83,15.0013,1336262400000000000,6,Sunday,May,17
2929,Fall,0,1, Clear + Few clouds,30.34,34.85,70,16.9979,1346803200000000000,9,Wednesday,September,290
2930,Winter,0,1, Clear + Few clouds,9.02,12.88,75,6.0032,1323388800000000000,7,Friday,December,199
2931,Spring,0,1," Light Snow, Light Rain",12.3,15.91,61,7.0015,1328659200000000000,15,Wednesday,February,54
2932,Summer,0,1, Clear + Few clouds,18.86,22.725,82,6.0032,1304899200000000000,3,Monday,May,7
2933,Winter,0,1, Clear + Few clouds,10.66,13.635,75,8.9981,1355875200000000000,7,Wednesday,December,363
2934,Summer,0,1, Mist + Cloudy ,24.6,28.79,78,11.0014,1340064000000000000,1,Tuesday,June,14
2935,Fall,0,1, Clear + Few clouds,24.6,28.03,83,6.0032,1314921600000000000,4,Friday,September,4
2936,Fall,0,1, Clear + Few clouds,35.26,41.665,53,7.0015,1311033600000000000,13,Tuesday,July,172
2937,Winter,0,1," Light Snow, Light Rain",22.14,25.76,77,6.0032,1349049600000000000,22,Monday,October,207
2938,Winter,0,1, Clear + Few clouds,16.4,20.455,43,19.0012,1353024000000000000,12,Friday,November,290
2939,Spring,0,0, Mist + Cloudy ,18.86,22.725,88,19.9995,1293840000000000000,23,Saturday,January,39
2940,Fall,0,1, Clear + Few clouds,21.32,25.0,72,7.0015,1347408000000000000,0,Wednesday,September,49
2941,Summer,0,0, Clear + Few clouds,24.6,31.06,40,7.0015,1338595200000000000,21,Saturday,June,316
2942,Winter,0,0, Clear + Few clouds,15.58,19.695,43,12.998,1353110400000000000,11,Saturday,November,423
2943,Summer,0,1, Clear + Few clouds,16.4,20.455,37,32.9975,1334016000000000000,22,Tuesday,April,127
2944,Fall,0,1, Clear + Few clouds,22.96,26.515,83,6.0032,1314835200000000000,4,Thursday,September,7
2945,Summer,0,0, Clear + Few clouds,31.16,34.09,45,6.0032,1339286400000000000,11,Sunday,June,499
2946,Summer,0,1, Clear + Few clouds,22.14,25.76,94,6.0032,1337126400000000000,6,Wednesday,May,158
2947,Fall,0,1, Clear + Few clouds,28.7,33.335,74,11.0014,1344556800000000000,2,Friday,August,20
2948,Fall,0,1, Clear + Few clouds,29.52,33.335,54,15.0013,1314835200000000000,18,Thursday,September,531
2949,Summer,0,1, Mist + Cloudy ,28.7,33.335,74,19.0012,1338508800000000000,11,Friday,June,235
2950,Winter,0,0, Clear + Few clouds,9.84,11.365,48,12.998,1323561600000000000,18,Sunday,December,163
2951,Summer,0,1, Clear + Few clouds,26.24,30.305,65,27.9993,1339632000000000000,10,Thursday,June,179
2952,Summer,0,0, Mist + Cloudy ,14.76,17.425,87,11.0014,1302912000000000000,3,Saturday,April,14
2953,Summer,0,1, Clear + Few clouds,17.22,21.21,35,26.0027,1334102400000000000,17,Wednesday,April,579
2954,Summer,0,1, Clear + Few clouds,29.52,32.575,32,8.9981,1339113600000000000,20,Friday,June,408
2955,Spring,0,1, Mist + Cloudy ,8.2,10.605,51,11.0014,1294704000000000000,10,Tuesday,January,54
2956,Winter,0,0, Clear + Few clouds,24.6,31.06,33,31.0009,1318636800000000000,14,Saturday,October,472
2957,Spring,0,1, Clear + Few clouds,9.02,13.635,75,0.0,1325808000000000000,1,Friday,January,8
2958,Fall,0,0, Clear + Few clouds,31.16,36.365,66,6.0032,1346544000000000000,17,Sunday,September,503
2959,Fall,0,1, Clear + Few clouds,32.8,34.85,27,12.998,1313020800000000000,16,Thursday,August,298
2960,Spring,1,0, Clear + Few clouds,10.66,12.12,60,19.0012,1326672000000000000,20,Monday,January,90
2961,Fall,0,1, Clear + Few clouds,29.52,32.575,39,15.0013,1313020800000000000,9,Thursday,August,197
2962,Summer,0,1," Light Snow, Light Rain",13.94,15.15,93,26.0027,1304467200000000000,8,Wednesday,May,79
2963,Fall,0,1, Clear + Few clouds,28.7,31.82,41,19.9995,1347408000000000000,17,Wednesday,September,925
2964,Spring,0,1, Mist + Cloudy ,9.02,12.12,87,7.0015,1326067200000000000,23,Monday,January,52
2965,Winter,0,1," Light Snow, Light Rain",22.96,26.515,88,12.998,1318550400000000000,6,Friday,October,94
2966,Spring,0,1, Clear + Few clouds,9.84,13.635,62,7.0015,1298937600000000000,22,Tuesday,March,47
2967,Summer,0,0, Mist + Cloudy ,18.04,21.97,77,19.0012,1302912000000000000,23,Saturday,April,35
2968,Winter,0,0, Clear + Few clouds,13.94,17.425,53,6.0032,1353110400000000000,19,Saturday,November,253
2969,Winter,1,0, Clear + Few clouds,14.76,16.665,34,22.0028,1320969600000000000,16,Friday,November,238
2970,Spring,0,1, Clear + Few clouds,15.58,19.695,46,7.0015,1326153600000000000,19,Tuesday,January,281
2971,Spring,0,0, Clear + Few clouds,18.04,21.97,33,19.0012,1300492800000000000,19,Saturday,March,154
2972,Summer,0,1, Clear + Few clouds,22.96,26.515,60,15.0013,1338768000000000000,2,Monday,June,11
2973,Winter,0,1, Mist + Cloudy ,17.22,21.21,82,15.0013,1321488000000000000,2,Thursday,November,5
2974,Winter,0,1, Clear + Few clouds,14.76,18.18,76,6.0032,1350000000000000000,3,Friday,October,6
2975,Fall,0,1, Clear + Few clouds,28.7,32.575,65,6.0032,1312848000000000000,5,Tuesday,August,30
2976,Summer,0,1, Clear + Few clouds,24.6,31.06,43,0.0,1338854400000000000,17,Tuesday,June,850
2977,Spring,0,1," Light Snow, Light Rain",6.56,11.365,93,0.0,1296518400000000000,7,Tuesday,February,52
2978,Spring,0,0, Mist + Cloudy ,16.4,20.455,100,19.9995,1299369600000000000,8,Sunday,March,9
2979,Winter,0,1, Mist + Cloudy ,12.3,16.665,56,0.0,1323648000000000000,17,Monday,December,359
2980,Winter,0,1," Light Snow, Light Rain",22.14,25.76,94,6.0032,1318377600000000000,22,Wednesday,October,43
2981,Summer,0,1, Clear + Few clouds,22.14,25.76,73,23.9994,1337212800000000000,6,Thursday,May,159
2982,Fall,0,0, Clear + Few clouds,27.88,31.82,79,12.998,1344643200000000000,9,Saturday,August,271
2983,Winter,0,1, Clear + Few clouds,22.14,25.76,77,0.0,1349395200000000000,4,Friday,October,11
2984,Fall,0,0, Mist + Cloudy ,26.24,30.305,65,0.0,1345334400000000000,15,Sunday,August,276
2985,Summer,0,1, Clear + Few clouds,13.12,15.91,57,11.0014,1334275200000000000,6,Friday,April,84
2986,Winter,0,1, Clear + Few clouds,13.12,15.91,70,12.998,1323907200000000000,7,Thursday,December,258
2987,Fall,0,1, Mist + Cloudy ,30.34,34.85,66,6.0032,1309910400000000000,12,Wednesday,July,152
2988,Summer,0,1, Clear + Few clouds,27.06,31.06,61,6.0032,1307318400000000000,22,Monday,June,173
2989,Fall,0,1, Mist + Cloudy ,28.7,33.335,84,0.0,1346889600000000000,1,Thursday,September,18
2990,Summer,0,1, Clear + Few clouds,22.96,26.515,83,11.0014,1339718400000000000,7,Friday,June,430
2991,Spring,0,0, Clear + Few clouds,17.22,21.21,14,19.9995,1298073600000000000,3,Saturday,February,7
2992,Winter,0,1, Mist + Cloudy ,24.6,29.545,73,11.0014,1318291200000000000,12,Tuesday,October,181
2993,Fall,0,0, Clear + Few clouds,28.7,33.335,79,12.998,1341100800000000000,4,Sunday,July,4
2994,Fall,0,0, Clear + Few clouds,31.16,36.365,70,11.0014,1341619200000000000,1,Saturday,July,71
2995,Winter,0,1, Clear + Few clouds,12.3,14.395,56,15.0013,1352160000000000000,23,Tuesday,November,205
2996,Fall,0,1, Clear + Few clouds,35.26,42.425,56,27.9993,1310342400000000000,17,Monday,July,514
2997,Fall,0,1, Clear + Few clouds,28.7,32.575,58,30.0026,1313452800000000000,8,Tuesday,August,441
2998,Spring,0,1," Light Snow, Light Rain",9.02,10.605,93,15.0013,1296604800000000000,8,Wednesday,February,155
2999,Winter,0,1, Clear + Few clouds,21.32,25.0,63,7.0015,1354492800000000000,17,Monday,December,708
3000,Fall,0,1, Clear + Few clouds,25.42,31.06,38,16.9979,1348012800000000000,14,Wednesday,September,286
3001,Fall,0,0, Clear + Few clouds,32.8,37.12,49,19.9995,1310860800000000000,13,Sunday,July,472
3002,Spring,0,1, Clear + Few clouds,9.02,12.12,69,7.0015,1325808000000000000,3,Friday,January,4
3003,Winter,0,1, Clear + Few clouds,9.02,12.88,87,6.0032,1322784000000000000,7,Friday,December,205
3004,Fall,0,1, Clear + Few clouds,27.06,31.06,54,7.0015,1309478400000000000,7,Friday,July,243
3005,Spring,0,1, Mist + Cloudy ,15.58,19.695,76,22.0028,1326758400000000000,13,Tuesday,January,103
3006,Winter,0,1, Clear + Few clouds,12.3,16.665,75,0.0,1323388800000000000,21,Friday,December,140
3007,Summer,0,0, Clear + Few clouds,28.7,32.575,58,0.0,1339286400000000000,9,Sunday,June,266
3008,Spring,0,1, Clear + Few clouds,5.74,7.575,69,8.9981,1294790400000000000,7,Wednesday,January,54
3009,Spring,0,1, Clear + Few clouds,16.4,20.455,50,11.0014,1328054400000000000,5,Wednesday,February,18
3010,Winter,0,0, Clear + Few clouds,12.3,14.395,56,16.9979,1322870400000000000,0,Saturday,December,75
3011,Spring,0,0, Clear + Few clouds,18.04,21.97,51,19.9995,1325376000000000000,23,Sunday,January,29
3012,Fall,0,1, Clear + Few clouds,30.34,34.85,66,8.9981,1342569600000000000,2,Wednesday,July,8
3013,Summer,0,1, Clear + Few clouds,14.76,16.665,40,27.9993,1334016000000000000,23,Tuesday,April,62
3014,Winter,0,1, Clear + Few clouds,14.76,16.665,46,16.9979,1353024000000000000,20,Friday,November,227
3015,Summer,0,0, Clear + Few clouds,28.7,33.335,74,11.0014,1307836800000000000,18,Sunday,June,256
3016,Fall,0,1, Mist + Cloudy ,28.7,33.335,74,12.998,1312416000000000000,20,Thursday,August,286
3017,Summer,0,1, Clear + Few clouds,28.7,32.575,54,8.9981,1335830400000000000,19,Tuesday,May,487
3018,Spring,0,0," Light Snow, Light Rain",9.84,11.365,87,15.0013,1328918400000000000,4,Saturday,February,4
3019,Spring,0,0, Clear + Few clouds,10.66,13.635,56,8.9981,1295136000000000000,1,Sunday,January,23
3020,Spring,0,1, Clear + Few clouds,8.2,9.85,44,16.9979,1330992000000000000,1,Tuesday,March,6
3021,Fall,0,0, Clear + Few clouds,26.24,31.06,41,11.0014,1347753600000000000,15,Sunday,September,557
3022,Winter,0,0, Clear + Few clouds,12.3,13.635,49,19.9995,1324166400000000000,13,Sunday,December,228
3023,Spring,0,1, Mist + Cloudy ,9.02,13.635,93,0.0,1295395200000000000,0,Wednesday,January,3
3024,Fall,0,1, Clear + Few clouds,25.42,28.79,83,11.0014,1315958400000000000,8,Wednesday,September,429
3025,Spring,0,1, Clear + Few clouds,12.3,14.395,56,19.0012,1331078400000000000,2,Wednesday,March,4
3026,Summer,0,1, Clear + Few clouds,33.62,37.88,46,0.0,1307664000000000000,11,Friday,June,153
3027,Winter,0,0, Clear + Few clouds,17.22,21.21,88,7.0015,1318032000000000000,5,Saturday,October,8
3028,Spring,0,1, Clear + Few clouds,13.12,15.91,21,11.0014,1297382400000000000,15,Friday,February,74
3029,Summer,0,0, Clear + Few clouds,30.34,33.335,51,0.0,1308441600000000000,17,Sunday,June,397
3030,Winter,0,1, Mist + Cloudy ,11.48,12.88,52,22.0028,1352246400000000000,5,Wednesday,November,27
3031,Fall,0,0, Clear + Few clouds,30.34,34.85,70,0.0,1346544000000000000,16,Sunday,September,474
